url,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
https://www.northcm.ac.th,24,www.northcm.ac.th,17,0,th,100.0,0.8,0.0005097,0.064489791,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,999,457,1,norhcmac,0.0,0.0,1,0,1,0,0,1,0,5,0,1,1,1,0,0,0,0,1,47,3,4,69,7,115,1
https://unitedmartialartscenters.com/at0/mygov/personal.html,59,unitedmartialartscenters.com,28,0,com,33.52266384,1.0,0.5229071,0.060026775,3,0,0,0,0.0,45,0.763,1,0.017,0,0,0,5,0.085,1,116,226,1,unitedmartialartscentersat0mygovpersonalhtm,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2,0,0,0,1,0
https://email.mail1.onesignal.os.tc/c/ejwcz02untamqohvwmwoczwfbgw6uduohnspqdycugml7r66b3ikm_n4vn8euqvy0apkcfu8eicckzyerqtqfuujn-uwkk7aztt8kt6xqthp-8zefetokzpt6kio3dr7du0vo7x52ipwpli8sk4erixqimbifemtuqimy2ljpdaro7vwuff3mm9th-n-t-hhhk8jx2e_ebel9efrpvh-l9k_jnx994qv2u32-erjaifwopr1wywwoqejkeqqyktbdshcglptnaswjp7vk__z89kvwzbzftigbbjhkeoi4lionzk1wudnu74oo5e__ap_nl8tuwrvftlyzp8faad__-czz7m,385,email.mail1.onesignal.os.tc,27,0,tc,3.199329203,0.458333333,4.64e-05,0.034324747,2,3,0,0,0.0,302,0.784,51,0.132,0,0,0,24,0.062,1,14,393,1,emailmail1onesignaloscejwcz02untamqohvwmwoczwfbgw6uduohnspqdycugml7r66b3ikm_n4vn8euqvy0apkcfu8eicckzyerqtqfuujn-uwkk7aztt8kt6xqthp-8zefetokzpt6kio3dr7du0vo7x52ipwpli8sk4erixqimbifemtuqimy2ljpdaro7vwuff3mm9th-n-t-hhhk8jx2e_ebel9efrpvh-l9k_jnx994qv2u32-erjaifwopr1wywwoqejkeqqyktbdshcglptnaswjp7vk__z89kvwzbzftigbbjhkeoi4lionzk1wudnu74oo5e__ap_nl8tuwrvftlyzp8faad__-czz7m,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://uqr.to/1il1z,19,uqr.to,6,0,to,53.84615385,1.0,0.0008962,0.036849537,2,0,0,0,0.0,8,0.421,2,0.105,0,0,0,2,0.105,0,9,70,1,uqr1il1z,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
https://www.woolworthsrewards.com.au,35,www.woolworthsrewards.com.au,28,0,au,100.0,0.857142857,0.0100856,0.060893686,2,2,0,0,0.0,21,0.6,0,0.0,0,0,0,2,0.057,1,1213,14983,1,woolworthsrewrdscom,0.0,0.0,1,0,1,1,1,1,0,3,0,1,0,1,1,1,1,0,1,33,7,8,15,0,2,1
https://www.kubiena-kochblog.com,31,www.kubiena-kochblog.com,24,0,com,100.0,0.5625,0.5229071,0.055829485,3,1,0,0,0.0,17,0.548,0,0.0,0,0,0,2,0.065,1,4769,5062,1,kubiena-kochblog,100.0,100.0,1,0,0,0,0,0,7,11,0,1,0,0,0,0,1,0,1,24,5,14,224,0,270,1
https://couchjumper.com/covantage/index.html,44,couchjumper.com,15,0,com,34.37604271,1.0,0.5229071,0.056994756,3,0,0,0,0.0,32,0.727,0,0.0,0,0,0,4,0.091,1,203,262,1,couchjumpercovantageindexhtml,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,9,0,0,0,2,0
http://www.rightnowscope.com,27,www.rightnowscope.com,21,0,com,70.17463235,1.0,0.5229071,0.061593278,3,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0,2,37,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://u1965047.plsk.regruhosting.ru/47/,40,u1965047.plsk.regruhosting.ru,29,0,ru,32.12061295,0.769230769,0.0180132,0.033376632,2,2,0,0,0.0,19,0.475,9,0.225,0,0,0,5,0.125,0,202,174,1,u1965047plskreghosting47,0.0,0.0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,22,5,7,0,0,2,0
http://www.unblock-me.org,24,www.unblock-me.org,18,0,org,67.07482993,0.8,0.0799628,0.06018676,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,2,0.083,0,9,77,1,unblock-me,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
